abate,(verb) make less active or intense
abdicate,"(verb) give up, such as power, as of monarchs and emperors, or duties and obligations"
aberrant,(noun) one whose behavior departs substantially from the norm of a group
abeyance,(noun) temporary cessation or suspension
abject,(adj) of the most contemptible kind
abjure,"(verb) formally reject or disavow a formerly held belief, usually under pressure"
abscission,(noun) shedding of flowers and leaves and fruit following formation of scar tissue in a plant
abscond,(verb) run away; usually includes taking something or somebody along
abstemious,(adj) sparing in consumption of especially food and drink
abstinence,(noun) the trait of abstaining (especially from alcohol)
abysmal,(adj) very great; limitless
accretion,(noun) an increase by natural growth or addition
accrue,(verb) grow by addition
adamant,(noun) very hard native crystalline carbon valued as a gem
adjunct,(noun) something added to another thing but not an essential part of it
admonish,(verb) admonish or counsel in terms of someone's behavior
adulterate,"(verb) corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones"
aesthetic,(noun) (philosophy) a philosophical theory as to what is beautiful
affected,(adj) acted upon; influenced
affinity,(noun) (immunology) the attraction between an antigen and an antibody
aggrandize,(verb) add details to
aggregate,(noun) the whole amount
alacrity,(noun) liveliness and eagerness
alchemy,(noun) the way two individuals relate to each other
allay,(verb) lessen the intensity of or calm
alleviate,"(verb) provide physical relief, as from pain"
alloy,(noun) a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
allure,(noun) the power to entice or attract through personal charm
amalgamate,(verb) to bring or combine together or with something else
ambiguous,(adj) open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
ambivalence,(noun) mixed feelings or emotions
ambrosia,(noun) a mixture of nectar and pollen prepared by worker bees and fed to larvae
ameliorate,(verb) to make better
amenable,(adj) disposed or willing to comply
amenity,(noun) pleasantness resulting from agreeable conditions
amulet,(noun) a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease
anachronism,(noun) something located at a time when it could not have existed or occurred
analgesic,(noun) a medicine used to relieve pain
analogous,(adj) similar or equivalent in some respects though otherwise dissimilar
anarchy,(noun) a state of lawlessness and disorder (usually resulting from a failure of government)
anodyne,(noun) a medicine used to relieve pain
anomalous,(adj) deviating from the general or common order or type
antecedent,(noun) someone from whom you are descended (but usually more remote than a grandparent)
antediluvian,(noun) any of the early patriarchs who lived prior to the Noachian deluge
antipathy,(noun) a feeling of intense dislike
apathy,(noun) an absence of emotion or enthusiasm
apex,(noun) the highest point (of something)
apogee,(noun) a final climactic stage
apothegm,(noun) a short pithy instructive saying
appease,(verb) cause to be more favorably inclined; gain the good will of
appellation,(noun) identifying word or words by which someone or something is called and classified or distinguished from others
apposite,(adj) being of striking appropriateness and pertinence
apprise,(verb) inform (somebody) of something
approbation,(noun) official approval
appropriate,(verb) give or assign a resource to a particular person or cause
apropos,(adj) of an appropriate or pertinent nature
arabesque,(noun) position in which the dancer has one leg raised behind and arms outstretched in a conventional pose
archeology,(noun) the branch of anthropology that studies prehistoric people and their cultures
ardor,(noun) a feeling of strong eagerness (usually in favor of a person or cause)
arduous,(adj) characterized by effort to the point of exhaustion; especially physical effort
argot,(noun) a characteristic language of a particular group (as among thieves)
artifact,(noun) a man-made object taken as a whole
artless,(adj) characterized by an inability to mask your feelings; not devious
ascetic,(noun) someone who practices self denial as a spiritual discipline
asperity,(noun) something hard to endure
aspersion,(noun) a disparaging remark
assiduous,(adj) marked by care and persistent effort
assuage,(verb) cause to be more favorably inclined; gain the good will of
astringent,(noun) a drug that causes contraction of body tissues and canals
asylum,(noun) a shelter from danger or hardship
atavism,(noun) a reappearance of an earlier characteristic
attenuate,(verb) weaken the consistency of (a chemical substance)
audacious,(adj) invulnerable to fear or intimidation
austere,(adj) severely simple
autonomous,(adj) (of political bodies) not controlled by outside forces
avarice,(noun) reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
aver,(verb) report or maintain
avocation,(noun) an auxiliary activity
avuncular,(adj) resembling a uncle in kindness or indulgence
axiomatic,(adj) evident without proof or argument
bacchanalian,(adj) used of riotously drunken merrymaking
banal,(adj) repeated too often; overfamiliar through overuse
banter,(noun) light teasing repartee
bard,(noun) a lyric poet
bawdy,(noun) lewd or obscene talk or writing
beatify,(verb) fill with sublime emotion
bedizen,(verb) decorate tastelessly
behemoth,(noun) someone or something that is abnormally large and powerful
belie,(verb) be in contradiction with
beneficent,(adj) doing or producing good
bifurcate,(verb) split or divide into two
blandishment,(noun) flattery intended to persuade
bolster,(noun) a pillow that is often put across a bed underneath the regular pillows
bombastic,(adj) ostentatiously lofty in style
boorish,(adj) ill-mannered and coarse and contemptible in behavior or appearance
bovine,(noun) any of various members of the genus Bos
brazen,(verb) face with defiance or impudence
broach,(noun) a decorative pin worn by women
bucolic,(noun) a country person
burgeon,(verb) grow and flourish
burnish,(noun) the property of being smooth and shiny
buttress,(noun) a support usually of stone or brick; supports the wall of a building
cacophonous,(adj) having an unpleasant sound
cadge,(verb) ask for and get free; be a parasite
callous,(verb) make insensitive or callous; deaden feelings or morals
calumny,(noun) a false accusation of an offense or a malicious misrepresentation of someone's words or actions
canard,(noun) a deliberately misleading fabrication
canon,(noun) a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy
cant,(noun) stock phrases that have become nonsense through endless repetition
cantankerous,(adj) stubbornly obstructive and unwilling to cooperate
capricious,(adj) changeable
captious,(adj) tending to find and call attention to faults
cardinal,(noun) (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
carnal,(adj) marked by the appetites and passions of the body
carping,(noun) persistent petty and unjustified criticism
cartography,(noun) the making of maps and charts
castigation,(noun) a severe scolding
cataclysm,(noun) a sudden violent change in the earth's surface
catalyst,(noun) (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
categorical,(adj) relating to or included in a category or categories
caucus,(noun) a closed political meeting
causal,(adj) involving or constituting a cause; causing
caustic,(noun) any chemical substance that burns or destroys living tissue
celestial,(adj) of or relating to the sky
centrifugal,(adj) tending to move away from a center
centripetal,(adj) tending to move toward a center
champion,(noun) someone who has won first place in a competition
chasten,(verb) censure severely
chicanery,(noun) the use of tricks to deceive someone (usually to extract money from them)
chivalry,(noun) courtesy towards women
churlish,(adj) rude and boorish
circuitous,(adj) marked by obliqueness or indirection in speech or conduct
clairvoyant,(noun) someone who has the power of clairvoyance
clamor,(noun) a loud harsh or strident noise
clique,(noun) an exclusive circle of people with a common purpose
cloister,(noun) residence that is a place of religious seclusion (such as a monastery)
coagulate,(verb) change from a liquid to a thickened or solid state
coalesce,(verb) mix together different elements
coda,(noun) the closing section of a musical composition
codify,"(verb) organize into a code or system, such as a body of law"
cognizant,(adj) (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
collage,(noun) a paste-up made by sticking together pieces of paper or photographs to form an artistic image
commensurate,(adj) corresponding in size or degree or extent
compendium,(noun) a publication containing a variety of works
complacent,(adj) contented to a fault with oneself or one's actions
complaisant,(adj) showing a cheerful willingness to do favors for others
complement,(noun) a word or phrase used to complete a grammatical construction
compliant,(adj) disposed or willing to comply
compunction,(noun) a feeling of deep regret (usually for some misdeed)
concave,(adj) curving inward
conciliatory,(adj) making or willing to make concessions
concoct,(verb) make a concoction (of) by mixing
concomitant,(noun) an event or situation that happens at the same time as or in connection with another
condone,"(verb) excuse, overlook, or make allowances for; be lenient with"
confound,(verb) be confusing or perplexing to; cause to be unable to think clearly
congenial,(adj) suitable to your needs
conjugal,(adj) of or relating to marriage or to the relationship between a wife and husband
connoisseur,(noun) an expert able to appreciate a field; especially in the fine arts
conscript,(noun) someone who is drafted into military service
consecrate,(verb) appoint to a clerical posts
contend,(verb) maintain or assert
contentious,"(adj) inclined or showing an inclination to dispute or disagree, even to engage in law suits"
contiguous,(adj) very close or connected in space or time
continence,(noun) the exercise of self constraint in sexual matters
contrite,(adj) feeling or expressing pain or sorrow for sins or offenses
contumacious,(adj) wilfully obstinate; stubbornly disobedient
conundrum,(noun) a difficult problem
convention,(noun) a large formal assembly
converge,(verb) be adjacent or come together
convivial,(adj) occupied with or fond of the pleasures of good company
convoluted,(adj) rolled longitudinally upon itself
copious,(adj) large in number or quantity (especially of discourse)
coquette,(noun) a seductive woman who uses her sex appeal to exploit men
cornucopia,(noun) a goat's horn filled with grain and flowers and fruit symbolizing prosperity
covert,(noun) a flock of coots
covetous,(adj) showing extreme cupidity; painfully desirous of another's advantages
cozen,(verb) be false to; be dishonest with
craven,(noun) an abject coward
credence,(noun) the mental attitude that something is believable and should be accepted as true
credo,(noun) any system of principles or beliefs
daunt,(verb) cause to lose courage
dearth,(noun) an acute insufficiency
debauchery,(noun) a wild gathering involving excessive drinking and promiscuity
decorum,(noun) propriety in manners and conduct
defame,(verb) charge falsely or with malicious intent; attack the good name and reputation of someone
default,(noun) loss due to not showing up
deference,(noun) a courteous expression (by word or deed) of esteem or regard
defunct,(adj) no longer in force or use; inactive
delineate,(verb) show the form or outline of
demographic,(noun) a statistic characterizing human populations (or segments of human populations broken down by age or sex or income etc.)
demotic,(noun) a simplified cursive form of the ancient hieratic script
demur,(noun) (law) a formal objection to an opponent's pleadings
denigrate,(verb) cause to seem less serious; play down
denizen,(noun) a person who inhabits a particular place
denouement,(noun) the outcome of a complex sequence of events
deride,(verb) treat or speak of with contempt
derivative,(noun) the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x)/dx
desiccate,(verb) preserve by removing all water and liquids from
desuetude,(noun) a state of inactivity or disuse
desultory,(adj) marked by lack of definite plan or regularity or purpose; jumping from one thing to another
deterrent,(noun) something immaterial that interferes with or delays action or progress
detraction,(noun) a petty disparagement
diaphanous,(adj) so thin as to transmit light
diatribe,(noun) thunderous verbal attack
dichotomy,(noun) being twofold; a classification into two opposed parts or subclasses
diffidence,(noun) lack of self-confidence
diffuse,(verb) move outward
digression,(noun) a message that departs from the main subject
dirge,(noun) a song or hymn of mourning composed or performed as a memorial to a dead person
disabuse,(verb) free somebody (from an erroneous belief)
discerning,(adj) having or revealing keen insight and good judgment
discomfit,(verb) cause to lose one's composure
discordant,(adj) not in agreement or harmony
discredit,(noun) the state of being held in low esteem
discrepancy,(noun) a difference between conflicting facts or claims or opinions
discrete,(adj) constituting a separate entity or part
discretion,(noun) freedom to act or judge on one's own
disingenuous,(adj) not straightforward or candid; giving a false appearance of frankness
disinterested,(adj) unaffected by self-interest
disjointed,(adj) lacking orderly continuity
dismiss,(verb) bar from attention or consideration
disparage,(verb) express a negative opinion of
disparate,(adj) fundamentally different or distinct in quality or kind
dissemble,(verb) make believe with the intent to deceive
disseminate,(verb) cause to become widely known
dissident,(noun) a person who dissents from some established policy
dissolution,(noun) separation into component parts
dissonance,(noun) a conflict of people's opinions or actions or characters
distend,(verb) become wider
distill,"(verb) remove impurities from, increase the concentration of, and separate through the process of distillation"
distrait,(adj) having the attention diverted especially because of anxiety
diverge,(verb) move or draw apart
divest,(verb) take away possessions from someone
divulge,(verb) make known to the public information that was previously known only to a few people or that was meant to be kept a secret
doctrinaire,(noun) a stubborn person of arbitrary or arrogant opinions
doggerel,(noun) a comic verse of irregular measure
dogmatic,(adj) characterized by assertion of unproved or unprovable principles
dormant,(adj) in a condition of biological rest or suspended animation
dross,(noun) worthless or dangerous material that should be removed
dupe,(noun) a person who is tricked or swindled
ebullient,(adj) joyously unrestrained
eclectic,(noun) someone who selects according to the eclectic method
effervescence,(noun) the process of bubbling as gas escapes
effete,(adj) marked by excessive self-indulgence and moral decay
efficacy,(noun) capacity or power to produce a desired effect
effrontery,(noun) audacious (even arrogant) behavior that you have no right to
egoism,(noun) (ethics) the theory that the pursuit of your own welfare in the basis of morality
elegy,(noun) a mournful poem; a lament for the dead
elicit,"(verb) call forth (emotions, feelings, and responses)"
elixir,(noun) a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste
Elysian,(adj) relating to the Elysian Fields
emaciated,(adj) very thin especially from disease or hunger or cold
embellish,(verb) add details to
emollient,(noun) toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin
empirical,(adj) derived from experiment and observation rather than theory
emulate,"(verb) strive to equal or match, especially by imitating"
encomium,(noun) a formal expression of praise
endemic,(noun) a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location
enervate,(verb) weaken mentally or morally
engender,(verb) call forth
enhance,(verb) increase
entomology,(noun) the branch of zoology that studies insects
enunciate,"(verb) speak, pronounce, or utter in a certain way"
ephemeral,"(noun) anything short-lived, as an insect that lives only for a day in its winged form"
epistemology,(noun) the philosophical theory of knowledge
equable,(adj) not varying
equanimity,(noun) steadiness of mind under stress
equivocate,(verb) be deliberately ambiguous or unclear in order to mislead or withhold information
errant,(adj) straying from the right course or from accepted standards
erudite,(adj) having or showing profound knowledge
esoteric,(adj) confined to and understandable by only an enlightened inner circle
essay,(noun) an analytic or interpretive literary composition
estimable,(adj) deserving of respect or high regard
etiology,(noun) the cause of a disease
eugenics,(noun) the study of methods of improving genetic qualities by selective breeding (especially as applied to human mating)
eulogy,(noun) a formal expression of praise for someone who has died recently
euphemism,(noun) an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh
euphoria,(noun) a feeling of great (usually exaggerated) elation
euthanasia,(noun) the act of killing someone painlessly (especially someone suffering from an incurable illness)
evince,(verb) give expression to
evocative,(adj) serving to bring to mind
exacerbate,(verb) make worse
exact,(verb) claim as due or just
exculpate,(verb) pronounce not guilty of criminal charges
execrable,(adj) of very poor quality or condition
exhort,(verb) spur on or encourage especially by cheers and shouts
exigency,(noun) a pressing or urgent situation
existential,(adj) derived from experience or the experience of existence
exorcise,(verb) expel through adjuration or prayers
expatiate,"(verb) add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing"
expatriate,(noun) a person who is voluntarily absent from home or country
expiate,(verb) make amends for
explicate,(verb) make plain and comprehensible
expository,(adj) serving to expound or set forth
extant,(adj) still in existence; not extinct or destroyed or lost
extemporaneous,(adj) with little or no preparation or forethought
extirpate,"(verb) destroy completely, as if down to the roots"
extraneous,(adj) not pertinent to the matter under consideration
extrapolation,(noun) (mathematics) calculation of the value of a function outside the range of known values
extrinsic,(adj) not forming an essential part of a thing or arising or originating from the outside
facetious,(adj) cleverly amusing in tone
facilitate,(verb) make easier
factotum,(noun) a servant employed to do a variety of jobs
fallacious,(adj) containing or based on a fallacy
fallow,(noun) cultivated land that is not seeded for one or more growing seasons
fatuous,(adj) devoid of intelligence
fauna,(noun) all the animal life in a particular region or period
fawning,(adj) attempting to win favor from influential people by flattery
felicitous,(adj) exhibiting an agreeably appropriate manner or style
feral,(adj) wild and menacing
fervor,(noun) feelings of great warmth and intensity
fetid,(adj) offensively malodorous
fetter,(noun) a shackle for the ankles or feet
fiat,(noun) a legally binding command or decision entered on the court record (as if issued by a court or judge)
fidelity,(noun) accuracy with which an electronic system reproduces the sound or image of its input signal
filibuster,(noun) a legislator who gives long speeches in an effort to delay or obstruct legislation that he (or she) opposes
finesse,(noun) subtly skillful handling of a situation
fissure,(noun) a long narrow depression in a surface
flag,(noun) emblem usually consisting of a rectangular piece of cloth of distinctive design
flora,(noun) all the plant life in a particular region or period
florid,(adj) elaborately or excessively ornamented
flout,(verb) treat with contemptuous disregard
flux,(noun) the rate of flow of energy or particles across a given surface
foment,(verb) try to stir up public opinion
forbearance,(noun) good-natured tolerance of delay or incompetence
forestall,(verb) keep from happening or arising; make impossible
formidable,(adj) extremely impressive in strength or excellence
forswear,"(verb) formally reject or disavow a formerly held belief, usually under pressure"
founder,(noun) inflammation of the laminated tissue that attaches the hoof to the foot of a horse
fracas,(noun) noisy quarrel
fractious,(adj) stubbornly resistant to authority or control
fresco,(noun) a mural done with watercolors on wet plaster
frieze,(noun) an architectural ornament consisting of a horizontal sculptured band between the architrave and the cornice
froward,(adj) habitually disposed to disobedience and opposition
frugality,(noun) prudence in avoiding waste
fulminate,(noun) a salt or ester of fulminic acid
fulsome,(adj) unpleasantly and excessively suave or ingratiating in manner or speech
fusion,(noun) an occurrence that involves the production of a union
futile,(adj) producing no result or effect
gainsay,(verb) take exception to
gambol,(noun) gay or light-hearted recreational activity for diversion or amusement
garrulous,(adj) full of trivial conversation
gauche,(adj) lacking social polish
geniality,(noun) a disposition to be friendly and approachable (easy to talk to)
gerrymander,(noun) an act of gerrymandering (dividing a voting area so as to give your own party an unfair advantage)
glib,(adj) marked by lack of intellectual depth
goad,(noun) a pointed instrument that is used to prod into a state of motion
gossamer,(noun) a gauze fabric with an extremely fine texture
gouge,(noun) an impression in a surface (as made by a blow)
grandiloquent,(adj) lofty in style
gregarious,(adj) (of animals) tending to form a group with others of the same species
grouse,(noun) flesh of any of various grouse of the family Tetraonidae; usually roasted; flesh too dry to broil
guileless,(adj) free of deceit
guise,(noun) an artful or simulated semblance
gullible,(adj) naive and easily deceived or tricked
gustatory,(adj) of or relating to gustation
halcyon,(noun) (Greek mythology) a woman who was turned into a kingfisher
hallowed,(adj) worthy of religious veneration
harangue,(noun) a loud bombastic declamation expressed with strong emotion
harrowing,(adj) extremely painful
herbivorous,(adj) feeding only on plants
hermetic,(adj) completely sealed; completely airtight
heterodox,(adj) characterized by departure from accepted beliefs or standards
hirsute,(adj) having or covered with hair
histrionic,(adj) characteristic of acting or a stage performance; often affected
homeostasis,(noun) (physiology) metabolic equilibrium actively maintained by several complex biological mechanisms that operate via the autonomic nervous system to offset disrupting changes
homily,(noun) a sermon on a moral or religious topic
hyperbole,(noun) extravagant exaggeration
iconoclastic,(adj) characterized by attack on established beliefs or institutions
idolatry,(noun) religious zeal; the willingness to serve God
igneous,(adj) produced under conditions involving intense heat
imbroglio,(noun) an intricate and confusing interpersonal or political situation
immutable,(adj) not subject or susceptible to change or variation in form or quality or nature
impair,(verb) make worse or less effective
impassive,(adj) having or revealing little emotion or sensibility; not easily aroused or excited
impecunious,(adj) not having enough money to pay for necessities
impede,(verb) be a hindrance or obstacle to
impermeable,(adj) preventing especially liquids to pass or diffuse through
imperturbable,(adj) not easily perturbed or excited or upset; marked by extreme calm and composure
impervious,(adj) not admitting of passage or capable of being affected
impinge,(verb) impinge or infringe upon
implacable,(adj) incapable of being placated
implausible,(adj) having a quality that provokes disbelief
implicit,(adj) implied though not directly expressed; inherent in the nature of something
implode,(verb) burst inward
imprecation,(noun) the act of calling down a curse that invokes evil (and usually serves as an insult)
impute,(verb) attribute or credit to
inadvertently,(adv) without knowledge or intention
incarnate,(verb) make concrete and real
